45_d500_101_1_badger_2020-02-01,45_d500_102_0_badger_2017-09-01,45_d500_106_752_0_badger_2020-02-01,45_d500_106_752_1_badger_2019-08-01,45_d500_109_844_0_badger_2020-02-01,45_d500_123_762_0_badger_2018-05-01,45_d500_124_0_badger_2020-02-01,45_d500_132_814_0_badger_2020-02-01,45_d500_139_0_badger_2020-02-01,45_d500_140_0_badger_2020-02-01,45_d500_151_0_badger_2017-09-01,45_d500_153_0_badger_2020-02-01,45_d500_154_0_badger_2020-02-01,45_d500_156_4_badger_2018-05-01,45_d500_168_0_badger_2016-08-01,45_d500_169_0_badger_2016-09-01,45_d500_170_0_badger_2020-02-01,45_d500_179_0_badger_2015-05-01,45_d500_181_0_badger_2016-05-01,45_d500_182_0_badger_2020-02-01,45_d500_196_0_badger_2020-02-01,45_d500_40_0_badger_2020-02-01,45_d500_50_612_1_badger_2020-02-01,45_d500_59_0_badger_2019-11-01,45_d500_59_1_badger_2020-02-01,45_d500_59_3_badger_2020-02-01,45_d500_59_4_badger_2020-02-01,45_d500_61_0_badger_2020-02-01,45_d500_61_1_badger_2020-02-01,45_d500_61_2_badger_2020-02-01,45_d500_87_0_badger_2019-05-01,45_d500_88_0_badger_2018-02-01,45_d500_89_0_badger_2020-02-01,45_d500_99_699_0_badger_2019-09-01,45_d500_99_716_1_badger_2020-02-01,64281001_0_cattle_2015-06-01,64281001_1_cattle_2015-07-01,64281001_2_cattle_2015-07-01,64281001_3_cattle_2015-07-01,64281001_4_cattle_2015-07-01,64281001_5_cattle_2015-07-01,64281003_0_cattle_2015-03-01,64281003_10_cattle_2015-03-01,64281003_11_cattle_2015-03-01,64281003_12_cattle_2015-03-01,64281003_13_cattle_2015-03-01,64281003_14_cattle_2015-03-01,64281003_1_cattle_2015-02-01,64281003_2_cattle_2014-10-01,64281003_3_cattle_2015-03-01,64281003_4_cattle_2015-03-01,64281003_5_cattle_2015-03-01,64281003_6_cattle_2015-03-01,64281003_7_cattle_2015-02-01,64281003_8_cattle_2015-03-01,64281003_9_cattle_2015-03-01,64281008_0_cattle_2015-02-01,64281008_1_cattle_2013-10-01,64281008_2_cattle_2013-11-01,64281008_3_cattle_2015-02-01,64281008_4_cattle_2015-02-01,64281008_5_cattle_2015-04-01,64281008_6_cattle_2015-04-01,64281_0_boar_2016-04-01,64281_1_boar_2017-03-01,64281_2_boar_2016-07-01,64281_3_boar_2015-09-01,64281_4_boar_2016-04-01,64281_5_boar_2016-01-01,64326020_0_cattle_2019-07-01,64326020_1_cattle_2019-10-01,64326020_2_cattle_2019-10-01,64326020_3_cattle_2019-10-01,64359035_0_cattle_2019-01-01,64359056_6_cattle_2019-09-01,64359103_0_cattle_2020-02-01,64359107_1_cattle_2020-02-01,64359136_1_cattle_2019-02-01,64359136_2_cattle_2018-12-01,64359136_3_cattle_2019-02-01,64359138_0_cattle_2019-06-01,64359138_4_cattle_2019-04-01,64359138_6_cattle_2019-02-01,64359138_8_cattle_2019-06-01,64359142_2_cattle_2020-02-01,64359142_4_cattle_2020-02-01,64359149_0_cattle_2019-02-01,64359149_1_cattle_2019-02-01,64359149_2_cattle_2019-02-01,64359187_0_cattle_2020-02-01,64359209_1_cattle_2019-04-01,64359209_3_cattle_2019-04-01,64359_16_boar_2020-02-01,64359_21_boar_2020-02-01,64359_23_boar_2020-02-01,64359_7_boar_2019-12-01,64556001_0_cattle_2019-02-01,64556001_1_cattle_2019-02-01,64556001_2_cattle_2019-02-01,64556001_3_cattle_2019-12-01,64556002_0_cattle_2020-02-01,64556002_1_cattle_2020-02-01,64556005_0_cattle_2018-03-01,64556005_1_cattle_2018-06-01,64556034_0_cattle_2018-12-01,64556039_0_cattle_2020-02-01,64556044_0_cattle_2019-03-01,64556044_1_cattle_2019-05-01,64556044_2_cattle_2019-03-01,64556044_3_cattle_2019-03-01,64556044_4_cattle_2019-05-01,64556048_0_cattle_2020-02-01,64556048_1_cattle_2020-02-01,64556051_0_cattle_2019-12-01,64556051_1_cattle_2019-12-01,64556500_0_cattle_2017-03-01,64556500_1_cattle_2017-05-01,64556500_2_cattle_2017-05-01,64556_10_boar_2020-02-01,64556_1_boar_2019-07-01,64556_2_boar_2018-12-01,64556_3_boar_2017-09-01,64556_4_boar_2019-08-01,64556_5_boar_2020-02-01,64556_9_boar_2020-02-01
0.002199560087982403,0.012797440511897606,0,0,0,0.12837432513497485,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0.003999200159968007,0,0,0.002599480103979204,0.004399120175964808,0.004199160167966408,0,7.998400319936012e-4,7.998400319936012e-4,9.998000399920016e-4,9.998000399920016e-4,0.02659468106378718,0,0.0023995200959808036,0.00519896020795841,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167966406718656,0.003999200159968007,0.005798840231953611,0.009598080383923213,0.023795240951809585,0.005798840231953611,1.999600079984003e-4,0,0.019996000799839993,0.08598280343931267,0.019796040791841593,0.019796040791841593,0.03599280143971196,0.03479304139172156,0.04379124175164954,3.999200159968006e-4,0,0.0745850829834035,0.04499100179963994,0.04139172165566875,3.999200159968006e-4,0.024995000999799982,0.03959208158368315,0,0,1.999600079984003e-4,0,0.02199560087982399,0.032993401319735965,0.03059388122375517,0,0,0,0.0027994401119776045,0.0011997600479904018,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0.022195560887822388,0.0167966406718656,0.02659468106378718,0,0.03079384123175357,0.09998000399920112,0.004199160167966408,0,0,0
0,0,0,0,0,0.0019996000799840027,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0.0017996400719856025,0,0,1.999600079984003e-4,1.999600079984003e-4,3.999200159968006e-4,0.0045990801839632086,0,0.0019996000799840027,0.0019996000799840027,0,0,0.0011997600479904018,1.999600079984003e-4,0,0,0,0,0.001399720055988802,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0.002199560087982403,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.03479304139172156,0,0,0,0,0,0,0,0,0,0.024995000999799982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1517696460707884,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35892821435712247,0,0.001399720055988802,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2729454109178196,0,0,0,0.038592281543691154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013997200559888004,0,0,0,0.0161967606478704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0,0,0,0,0,0,0,0.009798040391921612,0.0037992401519696068,0.0017996400719856025,0.2965406918616283,0.0171965606878624,0.06358728254349114,0.052189562087582325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.005798840231953611,0,0,0,0,0,0,0.012797440511897606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08978204359128239,0,0.2569486102779493,0.1299740051989621,0.18016396720656214,0,0,0,0,3.999200159968006e-4,0.10597880423915332,0.057388522295540714,0,3.999200159968006e-4,3.999200159968006e-4,0,3.999200159968006e-4,0,0,3.999200159968006e-4,0.07618476304739075,0,0,0,3.999200159968006e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0.022595480903819187,0.027394521095780777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006998600279944014,0,0,0,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0,0,0,0,0,0,0,0.0049990001999600095,0,0.5870825834832727,0.014797040591881602,0.009398120375924813,0.13397320535893023,0.07258548290341943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0.0015996800639872023,0,0,0,0,0,0.008398320335932815,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.00519896020795841,0.0153969206158768,0,0,0,0.009398120375924813,0,0.004399120175964808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,5.998800239952009e-4,0,5.998800239952009e-4,3.999200159968006e-4,3.999200159968006e-4,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0.006198760247950412,0.0019996000799840027,0
0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0.004799040191961609,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008398320335932815,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.999600079984003e-4,0,0,0,0,5.998800239952009e-4,7.998400319936012e-4,7.998400319936012e-4,0,0,0,0,0,0,0,0,0.004399120175964808,0,0,3.999200159968006e-4,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0,0,5.998800239952009e-4,0,0.01099780043991201,0.002999400119976005,0,1.999600079984003e-4,1.999600079984003e-4,0,0.01079784043191361,0,0,0.0023995200959808036,1.999600079984003e-4,0,0,0.0049990001999600095,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,1.999600079984003e-4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0,0.0017996400719856025,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0.0011997600479904018,3.999200159968006e-4,0,0,0.0027994401119776045,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.002999400119976005,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0.0037992401519696068,0.003399320135972806,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0.0031993601279744054,0.0037992401519696068,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
