X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,badger,boar,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
86168,13,SB0832,cattle,NA,64420015_0,NA,64420015,NA,initialisation,0,7,35,abattage,13,19,NA->cattle,2007,35,b2012,157,17,29,111,NA,NA,NA,NA,NA,NA
86169,13,SB0832,badger,cattle,45_d500_160_0,64420015_0,45_d500_160,64420015,cattle,8,8,157,NA,53,19,cattle->badger,2007,149,b2012,157,17,29,111,64420015_0->45_d500_160_0,64420015_0->45_d500_160_0,64420015_0->45_d500_160_0,NA,64420015_0->45_d500_160_0,NA
86170,13,SB0832,cattle,cattle,64420015_1,64420015_0,64420015,64420015,within,12,24,35,abattage,79,19,cattle->cattle,2008,23,b2012,157,17,29,111,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1,64420015_0->64420015_1
86171,13,SB0832,cattle,cattle,64420015_2,64420015_0,64420015,64420015,within,13,14,29,demographie,88,19,cattle->cattle,2008,16,b2012,157,17,29,111,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2,64420015_0->64420015_2
86172,13,SB0832,cattle,cattle,64420015_3,64420015_0,64420015,64420015,within,14,22,35,demographie,93,19,cattle->cattle,2008,21,b2012,157,17,29,111,64420015_0->64420015_3,64420015_0->64420015_3,64420015_0->64420015_3,64420015_0->64420015_3,64420015_0->64420015_3,64420015_0->64420015_3
86173,13,SB0832,cattle,cattle,64420015_4,64420015_0,64420015,64420015,within,15,16,35,abattage,98,19,cattle->cattle,2008,20,b2012,157,17,29,111,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4,64420015_0->64420015_4
86174,13,SB0832,cattle,cattle,64420015_5,64420015_2,64420015,64420015,within,15,-1,17,demographie,99,19,cattle->cattle,2008,2,b2012,157,17,29,111,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5,64420015_2->64420015_5
86175,13,SB0832,cattle,cattle,64420015_6,64420015_2,64420015,64420015,within,17,17,34,demographie,107,19,cattle->cattle,2008,17,b2012,157,17,29,111,64420015_2->64420015_6,64420015_2->64420015_6,64420015_2->64420015_6,64420015_2->64420015_6,64420015_2->64420015_6,64420015_2->64420015_6
86176,13,SB0832,cattle,cattle,64420015_7,64420015_0,64420015,64420015,within,18,31,35,abattage,109,19,cattle->cattle,2008,17,b2012,157,17,29,111,64420015_0->64420015_7,64420015_0->64420015_7,64420015_0->64420015_7,64420015_0->64420015_7,64420015_0->64420015_7,64420015_0->64420015_7
86177,13,SB0832,cattle,cattle,64420015_8,64420015_0,64420015,64420015,within,19,23,35,abattage,119,19,cattle->cattle,2008,16,b2012,157,17,29,111,64420015_0->64420015_8,64420015_0->64420015_8,64420015_0->64420015_8,64420015_0->64420015_8,64420015_0->64420015_8,64420015_0->64420015_8
86178,13,SB0832,cattle,cattle,64420015_10,64420015_0,64420015,64420015,within,21,23,35,abattage,129,19,cattle->cattle,2008,14,b2012,157,17,29,111,64420015_0->64420015_10,64420015_0->64420015_10,64420015_0->64420015_10,64420015_0->64420015_10,64420015_0->64420015_10,64420015_0->64420015_10
86179,13,SB0832,cattle,cattle,64420015_9,64420015_6,64420015,64420015,within,21,30,35,abattage,130,19,cattle->cattle,2008,14,b2012,157,17,29,111,64420015_6->64420015_9,64420015_6->64420015_9,64420015_6->64420015_9,64420015_6->64420015_9,64420015_6->64420015_9,64420015_6->64420015_9
86180,13,SB0832,cattle,cattle,64420015_11,64420015_2,64420015,64420015,within,22,27,35,abattage,132,19,cattle->cattle,2008,13,b2012,157,17,29,111,64420015_2->64420015_11,64420015_2->64420015_11,64420015_2->64420015_11,64420015_2->64420015_11,64420015_2->64420015_11,64420015_2->64420015_11
