19_d500_16_1429_0_badger_2019-09-01,19_d500_16_1429_1_badger_2018-04-01,19_d500_16_1432_0_badger_2020-02-01,19_d500_16_1432_1_badger_2020-02-01,19_d500_16_1432_2_badger_2018-04-01,19_d500_49_0_badger_2019-08-01,3_d500_285_0_badger_2018-08-01,3_d500_285_1_badger_2020-02-01,3_d500_285_2_badger_2016-04-01,3_d500_285_4_badger_2019-07-01,40299005_0_cattle_2017-04-01,40299005_10_cattle_2017-04-01,40299005_11_cattle_2017-04-01,40299005_12_cattle_2017-04-01,40299005_13_cattle_2017-04-01,40299005_14_cattle_2017-06-01,40299005_15_cattle_2017-06-01,40299005_16_cattle_2017-06-01,40299005_17_cattle_2017-04-01,40299005_1_cattle_2017-06-01,40299005_2_cattle_2017-04-01,40299005_3_cattle_2017-04-01,40299005_4_cattle_2017-04-01,40299005_5_cattle_2017-06-01,40299005_6_cattle_2017-04-01,40299005_7_cattle_2017-04-01,40299005_8_cattle_2017-04-01,40299005_9_cattle_2017-04-01,40299006_0_cattle_2018-03-01,45_d500_103_0_badger_2013-06-01,45_d500_105_726_0_badger_2011-09-01,45_d500_109_844_0_badger_2015-12-01,45_d500_110_0_badger_2014-06-01,45_d500_123_762_0_badger_2010-12-01,45_d500_123_762_1_badger_2013-06-01,45_d500_123_762_2_badger_2014-06-01,45_d500_124_1_badger_2020-02-01,45_d500_148_0_badger_2013-06-01,45_d500_151_0_badger_2012-11-01,45_d500_155_880_0_badger_2016-08-01,45_d500_156_0_badger_2020-02-01,45_d500_156_1_badger_2010-07-01,45_d500_157_852_0_badger_2020-02-01,45_d500_157_858_0_badger_2008-11-01,45_d500_157_858_1_badger_2016-03-01,45_d500_157_858_2_badger_2018-05-01,45_d500_157_858_3_badger_2017-07-01,45_d500_157_858_4_badger_2017-07-01,45_d500_159_855_0_badger_2016-08-01,45_d500_159_855_1_badger_2016-06-01,45_d500_159_855_2_badger_2020-02-01,45_d500_159_855_3_badger_2011-10-01,45_d500_160_0_badger_2014-08-01,45_d500_160_1_badger_2014-08-01,45_d500_160_2_badger_2016-07-01,45_d500_160_3_badger_2016-06-01,45_d500_163_0_badger_2013-12-01,45_d500_164_0_badger_2016-07-01,45_d500_170_0_badger_2013-03-01,45_d500_180_0_badger_2013-05-01,45_d500_184_0_badger_2011-08-01,45_d500_218_0_badger_2015-07-01,45_d500_36_0_badger_2019-02-01,45_d500_37_579_0_badger_2019-02-01,45_d500_37_586_0_badger_2013-06-01,45_d500_37_586_1_badger_2017-07-01,45_d500_37_586_2_badger_2014-07-01,45_d500_37_600_0_badger_2014-09-01,45_d500_42_560_0_badger_2013-07-01,45_d500_42_560_1_badger_2020-02-01,45_d500_57_687_0_badger_2013-11-01,45_d500_57_687_1_badger_2012-06-01,45_d500_57_715_0_badger_2012-07-01,45_d500_57_715_1_badger_2013-03-01,45_d500_57_715_2_badger_2014-05-01,45_d500_61_0_badger_2013-06-01,45_d500_61_1_badger_2020-02-01,45_d500_61_2_badger_2018-07-01,45_d500_87_0_badger_2017-05-01,45_d500_89_0_badger_2019-06-01,45_d500_89_1_badger_2013-08-01,45_d500_99_716_0_badger_2014-09-01,45_d500_99_720_0_badger_2012-02-01,45_d500_99_720_1_badger_2015-06-01,45_d500_99_766_0_badger_2014-05-01,45_d500_99_766_2_badger_2013-05-01,45_d500_99_766_3_badger_2015-05-01,45_d500_99_839_0_badger_2007-07-01,45_d500_99_839_1_badger_2016-09-01,45_d500_99_839_2_badger_2018-06-01,45_d500_99_839_3_badger_2014-07-01,45_d500_99_866_0_badger_2012-05-01,45_d500_99_866_1_badger_2016-06-01,45_d500_99_866_2_badger_2020-02-01,45_d500_99_869_0_badger_2013-05-01,45_d500_99_869_1_badger_2014-05-01,45_d500_99_869_2_badger_2015-02-01,45_d500_99_869_3_badger_2014-10-01,56_d500_41_0_badger_2018-08-01,56_d500_42_1975_0_badger_2020-02-01,56_d500_42_1979_0_badger_2016-02-01,56_d500_42_1979_1_badger_2015-04-01,56_d500_42_1979_2_badger_2018-07-01,56_d500_42_1979_3_badger_2020-02-01,64244012_0_cattle_2018-08-01,64244012_1_cattle_2018-04-01,64244012_2_cattle_2018-09-01,64326020_0_cattle_2018-03-01,64326020_10_cattle_2018-03-01,64326020_11_cattle_2018-03-01,64326020_12_cattle_2018-03-01,64326020_13_cattle_2018-03-01,64326020_14_cattle_2018-03-01,64326020_15_cattle_2018-03-01,64326020_16_cattle_2018-03-01,64326020_17_cattle_2018-03-01,64326020_18_cattle_2018-03-01,64326020_19_cattle_2018-06-01,64326020_1_cattle_2018-03-01,64326020_20_cattle_2018-03-01,64326020_21_cattle_2018-03-01,64326020_22_cattle_2018-03-01,64326020_23_cattle_2018-06-01,64326020_24_cattle_2018-03-01,64326020_25_cattle_2018-03-01,64326020_26_cattle_2018-06-01,64326020_27_cattle_2018-03-01,64326020_28_cattle_2018-03-01,64326020_29_cattle_2018-03-01,64326020_2_cattle_2018-03-01,64326020_30_cattle_2018-06-01,64326020_31_cattle_2018-06-01,64326020_32_cattle_2018-03-01,64326020_33_cattle_2018-03-01,64326020_34_cattle_2018-06-01,64326020_35_cattle_2018-05-01,64326020_36_cattle_2018-03-01,64326020_37_cattle_2018-06-01,64326020_3_cattle_2018-03-01,64326020_4_cattle_2018-03-01,64326020_5_cattle_2017-12-01,64326020_6_cattle_2018-03-01,64326020_7_cattle_2018-03-01,64326020_8_cattle_2018-03-01,64326020_9_cattle_2018-03-01,64359005_0_cattle_2018-12-01,64359103_0_cattle_2017-03-01,64359108_0_cattle_2013-05-01,64359108_1_cattle_2013-03-01,64359108_2_cattle_2013-03-01,64359108_3_cattle_2017-01-01,64359138_0_cattle_2014-01-01,64359149_0_cattle_2017-02-01,64359158_0_cattle_2020-02-01,64359158_1_cattle_2020-02-01,64359200_0_cattle_2020-02-01,64359_10_boar_2020-02-01,64359_11_boar_2019-02-01,64359_12_boar_2020-02-01,64359_1_boar_2012-07-01,64359_2_boar_2014-02-01,64359_3_boar_2019-01-01,64359_4_boar_2013-06-01,64359_5_boar_2014-04-01,64359_6_boar_2020-02-01,64359_7_boar_2017-05-01,64359_8_boar_2019-12-01,64359_9_boar_2020-02-01,64393387_0_cattle_2017-10-01,64393387_1_cattle_2017-10-01,64393387_2_cattle_2017-05-01,64393387_3_cattle_2017-09-01,64393387_4_cattle_2017-10-01,64393387_5_cattle_2017-10-01,64393387_6_cattle_2017-10-01,64393387_7_cattle_2017-10-01,64393_13_boar_2020-02-01,64393_2_boar_2020-02-01,64393_3_boar_2018-03-01,64393_4_boar_2018-03-01,64393_5_boar_2020-02-01,64393_7_boar_2020-02-01,64393_8_boar_2019-09-01,64420002_0_cattle_2012-03-01,64420002_1_cattle_2013-02-01,64420002_2_cattle_2013-04-01,64420002_3_cattle_2014-09-01,64420009_0_cattle_2012-02-01,64420009_1_cattle_2017-02-01,64420009_2_cattle_2017-02-01,64420009_3_cattle_2017-02-01,64420009_4_cattle_2018-12-01,64420012_0_cattle_2012-04-01,64420012_12_cattle_2012-04-01,64420012_1_cattle_2012-04-01,64420012_2_cattle_2012-04-01,64420012_4_cattle_2012-04-01,64420012_5_cattle_2012-04-01,64420012_6_cattle_2012-04-01,64420012_7_cattle_2012-04-01,64420012_8_cattle_2012-04-01,64420012_9_cattle_2012-06-01,64420015_0_cattle_2009-04-01,64420015_10_cattle_2015-02-01,64420015_11_cattle_2015-02-01,64420015_12_cattle_2015-04-01,64420015_13_cattle_2015-03-01,64420015_14_cattle_2015-04-01,64420015_15_cattle_2015-02-01,64420015_16_cattle_2015-02-01,64420015_17_cattle_2015-04-01,64420015_3_cattle_2009-06-01,64420015_5_cattle_2009-06-01,64420015_6_cattle_2015-04-01,64420015_7_cattle_2015-02-01,64420015_8_cattle_2015-04-01,64420015_9_cattle_2015-04-01,64420035_0_cattle_2011-07-01,64420035_10_cattle_2017-03-01,64420035_1_cattle_2010-04-01,64420035_2_cattle_2010-06-01,64420035_3_cattle_2011-08-01,64420035_4_cattle_2014-12-01,64420035_5_cattle_2016-06-01,64420035_6_cattle_2016-02-01,64420035_7_cattle_2017-03-01,64420035_8_cattle_2016-01-01,64420035_9_cattle_2016-06-01,64420038_0_cattle_2013-01-01,64420038_10_cattle_2015-03-01,64420038_11_cattle_2015-03-01,64420038_12_cattle_2015-03-01,64420038_13_cattle_2015-03-01,64420038_14_cattle_2015-03-01,64420038_1_cattle_2013-01-01,64420038_2_cattle_2013-01-01,64420038_3_cattle_2013-03-01,64420038_4_cattle_2015-03-01,64420038_5_cattle_2015-05-01,64420038_6_cattle_2015-03-01,64420038_7_cattle_2015-05-01,64420038_8_cattle_2015-03-01,64420038_9_cattle_2015-03-01,64420039_0_cattle_2013-02-01,64420039_1_cattle_2016-03-01,64420042_0_cattle_2016-12-01,64420042_1_cattle_2017-02-01,64420047_0_cattle_2013-01-01,64420047_1_cattle_2016-01-01,64449006_0_cattle_2015-04-01,64449007_0_cattle_2015-04-01,64449007_1_cattle_2015-04-01,64449007_2_cattle_2015-04-01,64449007_3_cattle_2015-06-01,64449007_4_cattle_2015-04-01,64449007_5_cattle_2015-04-01,64449007_6_cattle_2015-04-01,64459003_0_cattle_2018-01-01,64508019_0_cattle_2015-03-01,64521001_0_cattle_2018-02-01,64521001_1_cattle_2018-04-01,64521001_2_cattle_2018-03-01,64521001_3_cattle_2018-04-01,64521001_4_cattle_2018-04-01,64521015_0_cattle_2015-06-01,64521015_10_cattle_2015-04-01,64521015_11_cattle_2015-06-01,64521015_12_cattle_2015-04-01,64521015_13_cattle_2015-06-01,64521015_14_cattle_2015-04-01,64521015_15_cattle_2015-06-01,64521015_16_cattle_2015-04-01,64521015_17_cattle_2015-04-01,64521015_18_cattle_2015-04-01,64521015_19_cattle_2015-06-01,64521015_1_cattle_2015-06-01,64521015_2_cattle_2015-04-01,64521015_3_cattle_2015-04-01,64521015_4_cattle_2015-06-01,64521015_5_cattle_2015-06-01,64521015_6_cattle_2014-03-01,64521015_7_cattle_2015-06-01,64521015_8_cattle_2015-04-01,64521015_9_cattle_2015-04-01,64521016_0_cattle_2016-07-01,64521016_1_cattle_2016-03-01,64521016_2_cattle_2016-03-01,64521016_3_cattle_2016-03-01,64521_0_boar_2014-05-01,64521_1_boar_2015-03-01,64521_2_boar_2015-02-01,64521_3_boar_2016-04-01,64521_4_boar_2015-12-01,64521_5_boar_2019-07-01,64521_6_boar_2020-02-01,64521_7_boar_2020-02-01,64556002_0_cattle_2015-04-01,64556002_1_cattle_2015-02-01,64556002_2_cattle_2015-02-01,64556002_3_cattle_2015-02-01,64556005_0_cattle_2014-12-01,64556023_0_cattle_2012-04-01,64556023_1_cattle_2012-05-01,64556034_0_cattle_2020-02-01,64556039_0_cattle_2011-05-01,64556039_1_cattle_2011-08-01,64556039_2_cattle_2011-08-01,64556039_3_cattle_2011-07-01,64556039_4_cattle_2011-08-01,64556039_5_cattle_2011-08-01,64556_0_boar_2012-02-01,64556_1_boar_2013-02-01,64556_2_boar_2014-07-01,64556_3_boar_2013-12-01,64556_4_boar_2018-04-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050994900509949035,0.1139886011398881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04239576042395774,0,0,0,0,0.008099190080991905,0.029997000299969847,0,3.9996000399960006e-4,0,0,0.014998500149984955,0,9.999000099990002e-5,0.0028997100289971005,0.14418558144185606,0,0.015398460153984552,0,0.20057994200579338,0.0072992700729927066,0,0.012698730126987271,0,0,0,0,0.01419858014198576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006299370062993705,0,0.0024997500249975,0.0011998800119988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008599140085991401,0.038896110388961146,0.015398460153984552,0,0.09059094090591086,0,0,0,0,0,0,0,0.09319068093190833,0.06749325067493332,0,0.11658834116588557,0.0011998800119988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2444755524447446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022897710228977,0,0,0,0,0,0.054594540545945876,0.08899110088991241,0.009999000099989991,0,0,0,0,0,0,0.02009799020097982,0,0,0,0.061093890610939554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9997000299970003e-4,0,0,0.007099290070992906,0.006199380061993805,8.999100089991002e-4,0,2.9997000299970003e-4,0,7.999200079992001e-4,0,0,0,0,0.0018998100189980994,0.08959104089591183,0.0026997300269973002,0,0,0,0,0,0,0,0.0036996300369963016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016398360163983546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003299670032996701,0,0,0,0,9.99900009999e-4,0.007999200079992006,0,0,0,0,0,0,0,0,0.0225977402259773,0,0.0024997500249975,0.08589141085891543,0,0.0014998500149984997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399660033996601,0,0,0.0010998900109989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004199580041995802,0.013298670132986667,0.0037996200379962018,0,0.016298370162983647,0,0,0,0,0,0,0,0.48505149485054244,0.007599240075992407,0,0.02529747025297458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740925907409269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004799520047995203,0,0,0,0,0,0.30266973302669453,0.004399560043995603,0.0013998600139985998,0,0,0,0,0,0,0.011198880111988782,0,0,0,0.012098790120987876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024997500249975,0,2.9997000299970003e-4,0,0,0,9.99900009999e-4,0,0,0,0,0,0.007699230076992307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007799220077992207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010998900109989,0,0,0,0,0,0.14278572142785761,0,0,0,0,0,0.017798220177982136,0,0,5.999400059994001e-4,0,0,0.01149885011498848,0,0,0,4.999500049995e-4,0.4811518848115457,0,0,0,0,0.0012998700129986998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008099190080991905,0.0034996500349965013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008199180081991804,0,0.013498650134986466,0,0,0,0,0,0,0,0,0,0,0,0,0.02149785021497841,4.999500049995e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016198380161983748,0,0,0,0.0010998900109989,0,0,0,0.1215878412158807,0.0021997800219977996,0,0,0,0,0,0.011298870112988682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018998100189980994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04899510048995132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.999300069993001e-4,0,0,0,0,0,0,0,0,0.17928207179281705,0,0,0,0,0,9.999000099990002e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02009799020097982,0,0,0,0,0,0,0,0,0,0,0,0,0,8.999100089991002e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005199480051994804,0,0,0,0,0,0,0,3.9996000399960006e-4,0,0,0,0,0,0,2.9997000299970003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3802619738026298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011098890110988883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9998000199980003e-4,0,0,0,0,0,0.0994900509949022,1.9998000199980003e-4,0,0,0,0,0.010498950104989488,0,0.0014998500149984997,5.999400059994001e-4,0,0,0.010698930106989286,0,0,0.3964603539646163,0.003399660033996601,0,0,0,0,0,0.007199280071992806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01589841015898405,0.003899610038996102,4.999500049995e-4,0.0017998200179981994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01299870012998697,0.0013998600139985998,0.01159884011598838,0,2.9997000299970003e-4,0,0,0,0,0,0,0,0,0,0,0.027697230276972164,0.004799520047995203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01849815018498143,0,9.999000099990002e-5,0,0.0026997300269973002,0,0,0,0.09129087091291017,0.0016998300169982995,0,0,0,0,0,0.02699730026997287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012998700129986998,0,0,0,0.0023997600239976,0,0,0,0,0,0,0,0,0,0,0.0013998600139985998,0,0,0,0,0,0.0027997200279972004,0,2.9997000299970003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9998000199980003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9998000199980003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018998100189980994,0.0023997600239976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23867613238675103,0,0,0,0,0.007599240075992407,0.009299070092990696,0,0.01019898010198979,0.06389361063893682,0,0.0072992700729927066,0,0.1248875112488775,0,0,0,0,0.01579842015798415,0,0,0,0,0,0.004499550044995503,0.019098090190980826,0,0,0.008099190080991905,0,0,0.007999200079992006,0,0.017798220177982136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.025797420257974078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011198880111988782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08279172082791844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28107189281071254,0,0,0,0.003299670032996701,0,0.2390760923907506,0,0,0,0,0,0,0,0,0,0,0,0.003999600039996002,6.999300069993001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026997300269973002,0,0,8.999100089991002e-4,0.009099090090990898,0.0018998100189980994,0,0.0034996500349965013,0,3.9996000399960006e-4,0,0,0,0,0.04529547045295492,0,0.0013998600139985998,0,0,0,0.03319668033196669,0.026297370262973574,0.05989401059894072,0,0.0021997800219977996,0,0,0.056394360563944125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0017998200179981994,0,0,0.046195380461954046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02799720027997186,0,0,0,0,0,0.0738926107389271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011398860113988581,0.010498950104989488,0.004799520047995203,0.004799520047995203,8.999100089991002e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037996200379962018,0.01599840015998395,0.033396660333966495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026997300269973002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9997000299970003e-4,0,0,0,0,0,0,0,0,0,0,0,0.006699330066993306,0,2.9997000299970003e-4,0.0028997100289971005,0,0,0.10968903109689228,0,0,0,0,0.0057994200579942045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4047595240476094,0,0,7.999200079992001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11938806119388284,0,0.011998800119987977,0,0,0,0,0,0,0,0,0,0,0,0,0.02819718028197166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009999000099989991,0,0,0,0,0,0,0,9.99900009999e-4,0,0,0,0,0,0,0.012198780121987775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011998800119988,0,8.999100089991002e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
